Unnamed: 0,spotify_id,track,artists,popularity,album_release_date,album_release_year,album_release_month
0,7lPN2DXiMsVn7XUKtOW1CS,Drivers license,Olivia Rodrigo,100,2021-01-08,2021,January
1,5QO79kh1waicV47BqGRL3g,Save your tears,The Weeknd,96,2020-03-20,2020,March
2,0VjIjW4GlUZAMYd2vXMi3b,Blinding lights,The Weeknd,96,2020-03-20,2020,March
3,3tjFYV6RSFtuktYl3ZtYcq,Mood,24kGoldn,95,2020-07-24,2020,July
4,27OeeYzk6klgBh83TSvGMA,Without you,The Kid LAROI,94,2020-11-06,2020,November
5,5Kskr9LcNYa0tpt5f0ZEJx,Calling my phone,Lil Tjay,94,2021-02-12,2021,February
6,3Ofmpyhv5UAQ70mENzB277,Astronaut in the ocean,Masked Wolf,94,2021-01-06,2021,January
7,6f3Slt0GbA2bPZlz0aIFXN,The business,Tiësto,94,2020-09-16,2020,September
8,1xK1Gg9SxG8fy2Ya373oqb,Bandido,Myke Towers,94,2020-12-10,2020,December
9,3YJJjQPAbDT7mGpX3WtQ9A,Good days,SZA,93,2020-12-25,2020,December
10,47EiUVwUp4C9fGccaPuUCS,Dákiti,Bad Bunny,93,2020-10-30,2020,October
11,2XIc1pqjXV3Cr2BQUGNBck,La noche de anoche,Bad Bunny,93,2020-11-27,2020,November
12,35mvY5S1H3J2QZyna3TFe0,Positions,Ariana Grande,93,2020-10-30,2020,October
13,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,93,2019-11-07,2019,November
14,7vrJn5hDSXRmdXoR30KgF1,Bichota,KAROL G,93,2020-10-23,2020,October
15,6tDDoYIxWvMLTdKpjFkc1B,Telepatía,Kali Uchis,92,2020-12-04,2020,December
16,0D75ciM842cdUMKSMfAR9y,Baila conmigo,Selena Gomez,92,2021-01-29,2021,January
17,6Im9k8u9iIzKMrmV7BWtlF,34+35,Ariana Grande,92,2020-10-30,2020,October
18,45bE4HXI0AwGZXfZtMp8JR,You broke me first,Tate McRae,92,2020-04-17,2020,April
19,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,CJ,92,2020-08-20,2020,August
20,31qCy5ZaophVA81wtlwLc4,Anyone,Justin Bieber,92,2021-01-01,2021,January
21,3VvA1wSxukMLsvXoXtlwWx,Hecha pa' mi,Boza,92,2020-07-31,2020,July
22,6ft4hAq6yde8jPZY2i5zLr,Paradise,MEDUZA,91,2020-10-30,2020,October
23,54bFM56PmE4YLRnqpW6Tha,Therefore i am,Billie Eilish,91,2020-11-12,2020,November
24,1tkg4EHVoqnhR6iFEXb60y,What you know bout love,Pop Smoke,91,2020-07-03,2020,July
25,4saklk6nie3yiGePpBwUoc,Dynamite,BTS,91,2020-11-20,2020,November
26,4Oun2ylbjFKMPTiaSbbCih,Wap,Cardi B,90,2020-08-07,2020,August
27,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps,Travis Scott,90,2021-01-15,2021,January
28,7qEHsqek33rTcFNT9PFqLf,Someone you loved,Lewis Capaldi,90,2019-05-17,2019,May
29,6cx06DFPPHchuUAcTxznu9,Head & heart,Joel Corry,90,2020-07-03,2020,July
30,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak anniversary,Giveon,90,2020-03-27,2020,March
31,7ytR5pFWmSjzHJIeQkgog4,Rockstar,DaBaby,90,2020-04-17,2020,April
32,6UelLqGlWMcVH1E5c4H7lY,Watermelon sugar,Harry Styles,90,2019-12-13,2019,December
33,2QjOHCTQ1Jl3zawyYOpxh6,Sweater weather,The Neighbourhood,89,2013-04-19,2013,April
34,3iw6V4LH7yPj1ESORX9RIN,Wellerman,Nathan Evans,89,2021-01-21,2021,January
35,249gnXrbfmV8NG6jTEMSwD,Life goes on,BTS,89,2020-11-20,2020,November
36,0PvFJmanyNQMseIFrU708S,For the night,Pop Smoke,89,2020-07-03,2020,July
37,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,89,2020-03-20,2020,March
38,1zLBsSVxETQOfINOLYvT5m,Girl like me,Black Eyed Peas,89,2020-11-02,2020,November
39,7ndTONDDRFGiPnnhOzOXxq,La nota,Manuel Turizo,89,2020-10-08,2020,October
40,4y4spB9m0Q6026KfkAvy9Q,Lonely,Justin Bieber,89,2020-10-16,2020,October
41,1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,89,2021-02-05,2021,February
42,5YYW3yRktprLRr47WK219Y,Ella no es tuya,Rochy RD,89,2021-02-03,2021,February
43,7uoFMmxln0GPXQ0AcCBXRq,Snowman,Sia,88,2018-11-01,2018,November
