,track,album_name,artists,release_date,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,apple_music_playlist_count
0,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,1,725.4,"390,470,936","30,716","196,631,588",92.0,"84,274,754","1,713,126",210.0
1,Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,2,545.9,"323,703,884","28,113","174,597,137",92.0,"116,347,040","3,486,739",188.0
2,i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,3,538.4,"601,309,283","54,331","211,607,669",92.0,"122,599,116","2,228,730",190.0
3,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796",394.0
4,Houdini,Houdini,Eminem,5/31/2024,5,423.3,"107,034,922","7,223","151,469,874",88.0,"77,373,957","3,670,188",182.0
5,Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,6,410.1,"670,665,438","105,892","175,421,034",83.0,"131,148,091","1,392,593",138.0
6,Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,7,407.2,"900,158,751","73,118","201,585,714",86.0,"308,723,145","4,120,760",280.0
7,Gata Only,Gata Only,FloyyMenor,2/2/2024,8,375.8,"675,079,153","40,094","211,236,940",92.0,"228,382,568","1,439,495",160.0
9,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,10,330.6,"90,676,573","10,400","184,199,419",86.0,"32,735,244","988,682",191.0
10,I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,11,322.1,"250,080,413","16,219","168,766,158",91.0,"32,229,063","550,191",157.0
12,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,13,316.3,"221,636,195","13,800","197,280,692",92.0,"40,022,524","1,307,290",244.0
13,Like That,WE DON'T TRUST YOU,Future,3/22/2024,14,308.2,"355,186,436","43,025","108,168,634",88.0,"98,081,493","1,456,177",153.0
14,bathroom floor,bathroom floor,Kids With Buns,10/7/2022,15,301.6,"297,185",277,"24,445",12.0,"6,736,502,312","16,785,489",1.0
15,LALA,LALA - Single,Myke Towers,3/22/2023,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","4,294,166",94.0
16,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,17,297.6,"395,433,400","12,784","177,932,568",89.0,"104,673,836","2,484,083",221.0
17,greedy,greedy,Tate McRae,9/14/2023,18,293.7,"1,258,569,694","105,218","198,845,580",87.0,"141,646,818","1,514,837",207.0
18,BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,19,292.6,"91,272,461","6,499","52,287,548",86.0,"16,038,053","569,377",76.0
19,As It Was,As It Was,Harry Styles,3/31/2022,20,292.0,"3,301,814,535","407,119","169,783,402",87.0,"800,899,315","9,101,589",455.0
20,Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,21,290.5,"1,065,399,331","170,890","121,712,197",78.0,"240,970,670","2,749,668",158.0
21,Espresso,Espresso,Sabrina Carpenter,4/12/2024,22,281.5,"547,882,871","24,425","262,343,414",95.0,"107,550,212","1,825,761",298.0
23,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿½,2/10/2024,24,278.9,"426,700,979","34,044","152,928,632",86.0,"35,724,356","437,980",159.0
25,Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,26,268.1,"7,382,759","3,504","661,084",35.0,"4,233,958","69,990",1.0
26,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,27,266.3,"3,107,100,349","451,732","134,793,519",78.0,"1,256,973,582","14,661,425",513.0
27,Baby Shark,ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Pinkfong,12/1/2015,28,265.7,"720,822,868","60,945","7,530,769",71.0,"16,322,756,555","48,757,673",33.0
